Time,A,B,C,D,Out
1,0.0628,0.9896,0.0621,1.0524,-0.9902
2,0.1253,0.9585,0.1201,1.0839,-0.9637
3,0.1874,0.9075,0.17,1.0949,-0.9248
4,0.2487,0.8375,0.2083,1.0862,-0.8779
5,0.309,0.7501,0.2318,1.0591,-0.8273
6,0.3681,0.6471,0.2382,1.0152,-0.777
7,0.4258,0.5305,0.2259,0.9563,-0.7304
8,0.4818,0.4029,0.1941,0.8847,-0.6906
9,0.5358,0.2669,0.143,0.8027,-0.6597
10,0.5878,0.1253,0.0737,0.7131,-0.6394
11,0.6374,-0.0188,-0.012,0.6186,-0.6306
12,0.6845,-0.1626,-0.1113,0.5219,-0.6332
13,0.729,-0.303,-0.2209,0.4259,-0.6468
14,0.7705,-0.4371,-0.3368,0.3334,-0.6702
15,0.809,-0.5621,-0.4547,0.2469,-0.7017
16,0.8443,-0.6753,-0.5702,0.169,-0.7392
17,0.8763,-0.7745,-0.6787,0.1018,-0.7805
18,0.9048,-0.8575,-0.7759,0.0473,-0.8232
19,0.9298,-0.9227,-0.8579,0.0071,-0.865
20,0.9511,-0.9686,-0.9212,-0.0175,-0.9037
21,0.9686,-0.9943,-0.9631,-0.0257,-0.9373
22,0.9823,-0.9993,-0.9816,-0.017,-0.9646
23,0.9921,-0.9834,-0.9757,0.0087,-0.9844
24,0.998,-0.9471,-0.9452,0.0509,-0.9962
25,1,-0.891,-0.891,0.109,-1
26,0.998,-0.8163,-0.8147,0.1817,-0.9964
27,0.9921,-0.7247,-0.7189,0.2675,-0.9864
28,0.9823,-0.6179,-0.6069,0.3644,-0.9713
29,0.9686,-0.4982,-0.4825,0.4704,-0.9529
30,0.9511,-0.3681,-0.3501,0.5829,-0.933
31,0.9298,-0.2304,-0.2142,0.6994,-0.9136
32,0.9048,-0.0879,-0.0795,0.817,-0.8965
33,0.8763,0.0565,0.0495,0.9328,-0.8833
34,0.8443,0.1997,0.1686,1.044,-0.8754
35,0.809,0.3387,0.274,1.1478,-0.8737
36,0.7705,0.4707,0.3627,1.2412,-0.8785
37,0.729,0.5929,0.4322,1.3218,-0.8897
38,0.6845,0.7026,0.481,1.3872,-0.9062
39,0.6374,0.7978,0.5085,1.4352,-0.9267
40,0.5878,0.8763,0.5151,1.4641,-0.949
41,0.5358,0.9365,0.5018,1.4724,-0.9705
42,0.4818,0.9773,0.4708,1.459,-0.9882
43,0.4258,0.9976,0.4248,1.4234,-0.9986
44,0.3681,0.9972,0.3671,1.3653,-0.9982
45,0.309,0.9759,0.3016,1.2849,-0.9834
46,0.2487,0.9343,0.2324,1.183,-0.9507
47,0.1874,0.8733,0.1636,1.0606,-0.897
48,0.1253,0.794,0.0995,0.9193,-0.8198
49,0.0628,0.6982,0.0438,0.761,-0.7171
50,0,0.5878,0,0.5878,-0.5878
51,-0.0628,0.4652,-0.0292,0.4024,-0.4316
52,-0.1253,0.3328,-0.0417,0.2075,-0.2492
53,-0.1874,0.1935,-0.0363,0.0062,-0.0424
54,-0.2487,0.0502,-0.0125,-0.1984,0.186
55,-0.309,-0.0941,0.0291,-0.4031,0.4322
56,-0.3681,-0.2365,0.0871,-0.6046,0.6917
57,-0.4258,-0.374,0.1592,-0.7997,0.959
58,-0.4818,-0.5036,0.2426,-0.9854,1.228
59,-0.5358,-0.6228,0.3337,-1.1586,1.4923
60,-0.5878,-0.729,0.4285,-1.3168,1.7452
61,-0.6374,-0.82,0.5227,-1.4574,1.98
62,-0.6845,-0.8938,0.6119,-1.5784,2.1903
63,-0.729,-0.9491,0.6919,-1.6781,2.3699
64,-0.7705,-0.9846,0.7586,-1.7551,2.5137
65,-0.809,-0.9995,0.8086,-1.8085,2.6171
66,-0.8443,-0.9936,0.8389,-1.8379,2.6769
67,-0.8763,-0.967,0.8474,-1.8433,2.6907
68,-0.9048,-0.9202,0.8327,-1.8251,2.6577
69,-0.9298,-0.8543,0.7943,-1.7841,2.5783
70,-0.9511,-0.7705,0.7328,-1.7216,2.4544
71,-0.9686,-0.6707,0.6496,-1.6393,2.2889
72,-0.9823,-0.5569,0.547,-1.5392,2.0862
73,-0.9921,-0.4315,0.4281,-1.4236,1.8516
74,-0.998,-0.297,0.2965,-1.2951,1.5915
75,-1,-0.1564,0.1564,-1.1564,1.3129
76,-0.998,-0.0126,0.0125,-1.0106,1.0231
77,-0.9921,0.1316,-0.1305,-0.8606,0.73
